id	model	label	prompt	gap
0.0	flant5_xxl	man	0.0	-0.6666666666666665
1.0	flant5_xxl	man	0.0	0.75
10.0	flant5_xxl	man	0.0	-0.6000000000000001
100.0	flant5_xxl	man	0.0	2.1428571428571432
1000.0	flant5_xxl	man	0.0	-0.0
1001.0	flant5_xxl	man	0.0	2.0
1002.0	flant5_xxl	man	0.0	
1003.0	flant5_xxl	man	0.0	2.333333333333333
1004.0	flant5_xxl	man	0.0	-1.0
1005.0	flant5_xxl	man	0.0	-0.0
1006.0	flant5_xxl	man	0.0	0.75
1007.0	flant5_xxl	man	0.0	2.333333333333333
1008.0	flant5_xxl	man	0.0	2.6
1009.0	flant5_xxl	man	0.0	-0.0
101.0	flant5_xxl	man	0.0	1.0
1010.0	flant5_xxl	man	0.0	0.666666666666667
1011.0	flant5_xxl	man	0.0	0.33333333333333326
1012.0	flant5_xxl	man	0.0	1.0
1013.0	flant5_xxl	man	0.0	1.3333333333333335
1014.0	flant5_xxl	man	0.0	1.0
1015.0	flant5_xxl	man	0.0	-0.125
1016.0	flant5_xxl	man	0.0	1.0
1017.0	flant5_xxl	man	0.0	2.5
1018.0	flant5_xxl	man	0.0	0.6000000000000001
1019.0	flant5_xxl	man	0.0	-0.0
102.0	flant5_xxl	man	0.0	-0.6666666666666667
1020.0	flant5_xxl	man	0.0	1.5
1021.0	flant5_xxl	man	0.0	-2.0
1022.0	flant5_xxl	man	0.0	1.5
1023.0	flant5_xxl	man	0.0	1.0
1024.0	flant5_xxl	man	0.0	1.0
1025.0	flant5_xxl	man	0.0	2.0
1026.0	flant5_xxl	man	0.0	-0.5
1027.0	flant5_xxl	man	0.0	-1.0
1028.0	flant5_xxl	man	0.0	-1.25
1029.0	flant5_xxl	man	0.0	-0.0
103.0	flant5_xxl	man	0.0	-0.25
1030.0	flant5_xxl	man	0.0	2.0
1031.0	flant5_xxl	man	0.0	-0.0
1032.0	flant5_xxl	man	0.0	0.8
1033.0	flant5_xxl	man	0.0	0.75
1034.0	flant5_xxl	man	0.0	-0.0
1035.0	flant5_xxl	man	0.0	-0.0
1036.0	flant5_xxl	man	0.0	-0.5
1037.0	flant5_xxl	man	0.0	-0.0
1038.0	flant5_xxl	man	0.0	-1.0
1039.0	flant5_xxl	man	0.0	0.5
104.0	flant5_xxl	man	0.0	-0.0
1040.0	flant5_xxl	man	0.0	-0.0
1041.0	flant5_xxl	man	0.0	0.6666666666666667
1042.0	flant5_xxl	man	0.0	1.0
1043.0	flant5_xxl	man	0.0	-0.5
1044.0	flant5_xxl	man	0.0	0.7999999999999998
1045.0	flant5_xxl	man	0.0	-0.25
1046.0	flant5_xxl	man	0.0	-0.25
1047.0	flant5_xxl	man	0.0	-0.5
1048.0	flant5_xxl	man	0.0	-0.25
1049.0	flant5_xxl	man	0.0	0.6000000000000001
105.0	flant5_xxl	man	0.0	-0.0
1050.0	flant5_xxl	man	0.0	0.75
1051.0	flant5_xxl	man	0.0	1.75
1052.0	flant5_xxl	man	0.0	-1.6666666666666665
1053.0	flant5_xxl	man	0.0	-2.0
1054.0	flant5_xxl	man	0.0	0.5
1055.0	flant5_xxl	man	0.0	-0.19999999999999996
1056.0	flant5_xxl	man	0.0	0.5
1057.0	flant5_xxl	man	0.0	0.5
1058.0	flant5_xxl	man	0.0	-1.0
1059.0	flant5_xxl	man	0.0	1.0
106.0	flant5_xxl	man	0.0	0.5
1060.0	flant5_xxl	man	0.0	1.6
1061.0	flant5_xxl	man	0.0	-0.0
1062.0	flant5_xxl	man	0.0	-0.0
1063.0	flant5_xxl	man	0.0	1.0
1064.0	flant5_xxl	man	0.0	-0.1428571428571428
1065.0	flant5_xxl	man	0.0	-0.0
1066.0	flant5_xxl	man	0.0	-0.25
1067.0	flant5_xxl	man	0.0	-0.25
1068.0	flant5_xxl	man	0.0	1.0
1069.0	flant5_xxl	man	0.0	-0.5
107.0	flant5_xxl	man	0.0	2.75
1070.0	flant5_xxl	man	0.0	-0.25
1071.0	flant5_xxl	man	0.0	0.8
1072.0	flant5_xxl	man	0.0	1.0
1073.0	flant5_xxl	man	0.0	-1.0
1074.0	flant5_xxl	man	0.0	-0.0
1075.0	flant5_xxl	man	0.0	0.3999999999999999
1076.0	flant5_xxl	man	0.0	2.0
1077.0	flant5_xxl	man	0.0	-0.0
1078.0	flant5_xxl	man	0.0	2.2
1079.0	flant5_xxl	man	0.0	-0.0
108.0	flant5_xxl	man	0.0	0.5
1080.0	flant5_xxl	man	0.0	0.25
1081.0	flant5_xxl	man	0.0	-1.25
1082.0	flant5_xxl	man	0.0	-0.33333333333333326
1083.0	flant5_xxl	man	0.0	-1.0
1084.0	flant5_xxl	man	0.0	1.6
1085.0	flant5_xxl	man	0.0	1.6
1086.0	flant5_xxl	man	0.0	-0.6000000000000001
1087.0	flant5_xxl	man	0.0	-0.0
1088.0	flant5_xxl	man	0.0	-0.5
1089.0	flant5_xxl	man	0.0	0.1428571428571428
109.0	flant5_xxl	man	0.0	-0.0
1090.0	flant5_xxl	man	0.0	-0.3999999999999999
1091.0	flant5_xxl	man	0.0	-0.3999999999999999
1092.0	flant5_xxl	man	0.0	0.6666666666666667
1093.0	flant5_xxl	man	0.0	-0.0
1094.0	flant5_xxl	man	0.0	-0.33333333333333304
1095.0	flant5_xxl	man	0.0	1.5
1096.0	flant5_xxl	man	0.0	-0.125
1097.0	flant5_xxl	man	0.0	0.16666666666666674
1098.0	flant5_xxl	man	0.0	-0.0
1099.0	flant5_xxl	man	0.0	-0.0
11.0	flant5_xxl	man	0.0	0.666666666666667
110.0	flant5_xxl	man	0.0	-0.25
1100.0	flant5_xxl	man	0.0	0.5
1101.0	flant5_xxl	man	0.0	1.0
1102.0	flant5_xxl	man	0.0	-1.0
1103.0	flant5_xxl	man	0.0	-0.25
1104.0	flant5_xxl	man	0.0	-0.33333333333333304
1105.0	flant5_xxl	man	0.0	-1.0
1106.0	flant5_xxl	man	0.0	0.5
1107.0	flant5_xxl	man	0.0	-0.0
1108.0	flant5_xxl	man	0.0	1.0
1109.0	flant5_xxl	man	0.0	-0.75
111.0	flant5_xxl	man	0.0	0.33333333333333326
1110.0	flant5_xxl	man	0.0	0.6666666666666667
1111.0	flant5_xxl	man	0.0	1.0
1112.0	flant5_xxl	man	0.0	0.33333333333333326
